reviews,date,country,seat_type,recommended,stars,route,type_of_traveller,Verified,Contonation
uneventful british airways flight from gatwick to porto. take off delayed by 30 minutes due to french air traffic control strike and route of flight had to be changed to avoid french airspace. cabin crew helpful and cheerful. snack and drinks provided; quite adequate for this short flight. seats reasonably comforatable and more legroom than most budget airlines. now that ba prices are competitive with many budget airlines this additional leg room becomes important. flight arrived a few minutes late at opo but some of the lost time was made up during the flight. overall a pleasant flight.,18th June 2016,United Kingdom,Economy Class,yes,3,LHR to CPT,Couple Leisure,Yes,Positive
"we travelled on ba 633 from athens on 12th of june, 2016. the flight departed at 7.55 pm but sat on the tarmac for 30 mins due to bad weather at london. nonetheless, we only got in 15 minutes late. what went wrong from the very beginning was the check in process. we had showed up early but was refused check in at club europe. the ground attendant at athens was incredibly rude and abrupt. if they had explained it to us nicely, we would have been fine with it. the result of the two hour before flight check in resulted in chaos and long lines given the fact that it was a 767 – a larger than usual plane. when we finally lined up, it took a good 30 minutes and more to check in at club europe because for half that time, there was only one counter open. eventually, a second counter opened but a young couple jumped the queue by using the excuse that she was pregnant (unheard of policy and she was perfectly healthy given how fast she rushed up) and that was allowed by the ground atttendants despite the long line-up. eventually we got to the plane only to find a ridiculous two tier business class system that stretched into the economy section without any separation of any kind. seating became problematic as those assigned to the windows on each side had smaller spaces, and in fact were no more bigger than the economy class. the middle seats were fine as passengers there had the empty middle seat. british airways were passing off economy seats as business but though the service was different – you couldn’t properly enjoy it. we were placed on the last row of business class (14) and these were three seats stretching into the economy class cabin. it was so confusing that the crew tried to serve economy class food to our end. to be fair, i think other business class passengers had it more unfortunate in their seat assignments. furthermore, when asked for a blanket, i was refused one on the basis there was none until i walked into the upper cabin and found that business class passengers there had blankets. how is this fair? what principle of seat assignment did they use? the last few ba trips to europe have been nightmarish, from boarding processes (this one in athens was chaotic and unsystematic, they had allowed everyone to rush forward thus blocking the pre-boarding process). we were assigned different seats far from each other and not according to our preferences in our exec club, the online check-in keeps breaking down and when we tell ba that, they tell us to call in (laugh out hysterically here). in fact the more frequent you are a flyer (but not high profile), the worse treatment you get. i also get a sense that communication between the crew is poor given that different services were offered (later on, the cabin director told me she could find a blanket for me but we were already 30 mins from landing). i cannot blame the crew, they work with what they get.  if we knew we were going to be treated no better than economy, we would have booked economy.",18th June 2016,United Kingdom,Business Class,no,1,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"i think that british airways customer service must hold the accolade as the worst going, but that is their only achievement. having booked our flight from alicante to gatwick i immediately selected and paid for seats in row 4 at a cost of €23 each. when i came to check in online, 24 hours before the flight, i found that we had been moved to row 30, the very back of the plane. when i selected 'change your seat' row 4 was not even displayed. i am 64 years old with back problems that make it quite difficult to struggle to the back of the plane. for this reason i am always more than happy to pay for seats near to the front and have never experienced any problem with other airlines i did not and have not received any notification from ba to tell me they had changed the seating. nor have i received my money back. while waiting to board the plane i received a text message survey on my ba experience so far. i participated and gave a summary of the situation. i also agreed that they could contact me but still nobody did. when i got home i gave ba one day to contact me but when they did not i submitted a complaint through their website. after some days i got a reply saying: 'would you like to claim a refund for your prepaid seating charge? we’ll be more than happy to see if you’re eligible if you complete the following form within 14 days of your flight'. i cannot think of another time where a supplier has taken my money, failed to deliver, and not informed me and automatically refunded my money. but with ba you have to 'claim' a refund and then wait while they 'check your eligibility'. my family take many flights each year including long hauls to asia. needless to say that none of these will ever be on british airways.",17th June 2016,United Kingdom,Economy Class,no,7,Gatwick to Venice,Solo Leisure,Yes,Positive
new york jfk to london gatwick with british airways. excellent flight. left more or less on time and even with the interminable taxing at jfk we still arrived on time at london gatwick. flight was very busy but the service didn't suffer. staff were friendly but professional and the b777 was clean and in excellent condition. couldn't ask for more. this was my return flight but the outward flight was just as good. credit to british airways - there was a woman near me who was terriifed of flying and one of the flight attendants sat with her through the landing. poor woman was sick due to a bit of turbulence just before landing but the attendant dealt with it pefectly. i only booked a week before i flew and the price was very good. decent offering of entertainment considering this was economy class. any downsides? none i can think of.,17th June 2016,United Kingdom,Economy Class,yes,3,London to Luanda,Couple Leisure,Yes,Positive
"at the beginning of the year i booked 4 first class seats london-kansas usa for myself, husband, son and 84 year old mother to attend a wedding. at that time i also booked wheelchair assistance for my mother, she walks with a stick and cannot walk long distances. at check in they had no wheelchair and called for one. after some time when it did not arrive we were told it would be quicker to walk to security which we did with some great effort for mum. at security we were told the check in staff had not validated our tickets correctly so had to walk back again for them to do this and then walk back to security. security itself was a nightmare despite the fact my mother had a doctors letter she had to stand with her hands raised in the body scanner and was then taken by two staff members to a side room as they wanted a more detailed search. when i complained the supervisor told me i would not be boarding the flight if i didn't keep quiet. once this was completed we walked the long journey to the lounge and i requested again a chair to take my mother to the plane. it arrived but i was told i could not accompany her as they would transfer to a buggy and had to pick up other passengers so we went and boarded and said we would meet her there. the flight was being called for final passengers when my tearful mother finally arrived. the staff had taken her to the wrong gate and then told her if she did no want to miss the flight she would have to walk. on talking to the cabin crew they said this was not an uncommon occurrence. i had spent thousands on the flights, i had booked assistance and checked and re checked pre flight that there would be no issues but the staff just didn't care and saw mum as a nuisance. in the usa the service was brilliant and they never once through security asked my mum to get out of the wheelchair or stand in the body scanner and i was allowed to accompany her all the way. to add insult to injury on the flight back half the tv sets didn't work so they even had to do the safety talk manually and my husband never got his inflight dinner as after 2 hours and no sign of it he told them to forget it as he wanted to sleep. my mum refuses to fly ba again and if it wasn't for the fact that we have so many points and numerous flights already booked for myself, husband and children over the coming year we would transfer our business to virgin and other carriers. i have complained to ba but as of yet no response.",16th June 2016,United Kingdom,First Class,no,5,Denver to Heathrow,Family Leisure,Yes,Negative
"for those who have alluded to there being ""haves"" and ""have-nots"" on ba flights in terms of customer service i can assure them this is not the case. i am a gold executive club member and can confirm that i have invariably been treated with equal levels of contempt as a customer at all levels of their executive and club and most cabins. my last experience was with my wife flying from london gatwick to faro on the 18 may 2016. checked in at the first counter for our economy flight to be told by the apparently gleeful ba employee that the plane was rammed so we knew we would be in for an uncomfortable flight. the lounges that are available whilst the ba lounges are renovated were packed and filthy. the ba lounge greeter offered no apology when we couldn’t access the clubrooms that were full. the flight was late and chaotic. a group of loud boisterous men, were virtually running the economy cabin, roaming the cabin whilst the seatbelt signs were on and raiding the galley to return with clutches of mini wines and spirits. this resulted in my wife being told they had run out of gin and tonic. it turned out to be a lie when the purser emerged from club to serve one of the other passengers with a g&t on a tray. returned home 10 days later and complained. received a jumbled response. cancelled all non essential flights with them in the future including high yield club world flights and will only use them when forced - they didn’t seem to care so good luck to them.",16th June 2016,United Kingdom,Economy Class,no,3,BKK to LHR,Business,Yes,Neutral
"domestic ba from london and edinburgh return, check in at t5 a bit of a shambles the on line check in appeared down so pretty long ques. security pretty quick although boarding lengthy via a prolonged bus trip. once onboard flight delayed around 20 min otherwise okay service and flight which arrived about 10 minutes late. return check in quick as was security again flight delayed 20 min boarding quick on to a new looking a319. seat in the exit row comfortable service polite with a snack served. arrived lhr about on time off the aircraft although bags took around 30 min to arrive on the belt. will use again because there is no other choice.",16th June 2016,United Kingdom,Economy Class,yes,5,London to Sydney,Couple Leisure,Yes,Positive
"very good flight back to london from barbados. bridgetown, barbados is a small airport but the ground staff are very friendly and efficient and the exec lounge is good with reasonable snacks given the time of day (mid-late afternoon) and a decent selection of drinks available. aircraft was clean and it looked as if the club world cabin had recently received some tlc. entertainment system was excellent with a good choice of movies and very clear screen, no doubt part of the overall attention the cabin seemed to have been given. bar service was good and the food was tasty, good portion sizes, the cheesecake for dessert was 'almost' too much. being a night flight the crew got the bar and food service completed early in the flight allowing passengers to get some sleep before the lights came back up for breakfast. breakfast was good. cabin crew were excellent, friendly and efficient. cockpit crew were clear and concise with their comms at the start and end of the trip. previous flights i have taken from lgw have shown a noticable difference in the cabin interiors compared to flights form lhr so it was good to see the lgw fleet getting some needed enhancements.",14th June 2016,United Kingdom,Business Class,yes,3,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"london heathrow to miami with british airways. awful experience. changed our flight from a morning flight to an evening flight on the way out and refused to refund the difference as we were put on a cheaper flight. then cancelled our return flight without informing us so had to spend an hour of our final evening on holiday speaking to an advisor. the plane on the way out was very old, many tv's broken and very uncomfortable. staff are extremely unhelpful and will never use ba ever again.",14th June 2016,United Kingdom,Economy Class,no,1,Rome to Heathrow,Solo Leisure,Yes,Negative
"every flight we took in british airways for our two vacation (4 flights) had huge problems! always delayed, from ny a 5 hour delay in line! ""computer glitch, they were handwriting boarding passes. another leg, check in was botched (their issue) and we had to stand with the very rude employee who botched it all up and kept trying to call his manager, who never picked up - for 30 minutes, which held up a very long line of check-ins. we are here at heathrow, tired and ready for our way home. already a 1 hour delay, no explanation! just read that british airways had to turn a plane around this morning due to engine issues!",12th June 2016,United States,Premium Economy,no,9,Gatwick to Venice,Solo Leisure,Yes,Negative
"on the 17th may i reviewed british airways 777-200 flight from bangkok to london which was not great with a 3/10 score given. after changing the return flight we opted to travel a380 to singapore. very pleased to say that overall the experience was excellent, the premium economy product on this aircraft is fantastic. seat pitch, entertainment unit, overall comfort was good. the food was ok but i think attention to detail is lacking to polish off this product. 1st meal you receive has metal cutlery yet the second meal is plastic. only a minor negative. the crew were ok, did their job and that was it. love the a380 layout with premium economy on the upperdeck.",11th June 2016,Australia,Premium Economy,yes,3,Denver to Heathrow,Family Leisure,Yes,Positive
"i would have been very disappointed indeed if i had paid a full fare for my business class ticket. the food was just appalling. i could hardly get two mouthfuls our of my starter and the main course (beef) was hard, tasteless and very small. compared to business class meals in say cathay pacific or qatar airways, portions on both starter and main were around 50% less. incredibly, british airways serve such mean meals in business class on a transatlantic route, where they make most of their money, i was hungry after the meal so later on decided to 'raid the larder' but they only had sweet, which i generally avoid. the menu states there would be yoghurt and other stuff there they were not available. the fas were embarrassed and got me some cheese. plus were excellent service, good selection of ife and comfortable enough seats (a larger pillow would do), although i hate having to climb over someone to get out of my seat. british airways revamped iberia after they merged but now iberia has a much better business class product.",11th June 2016,United Kingdom,Business Class,yes,5,BKK to LHR,Business,Yes,Positive
"we arrived at gatwick just after 07.30 to catch the 10.00 flight to st lucia. check in was fine and although security was tight, we were airside just after 08.00. before having breakfast we checked the flight information screen which indicated that the departure gate would be available at 09.00. after tea and toast we checked at 09.00 and the board indicated that the departure information would now be available 10.00. obviously this was the first time that alarm bells start ringing as it was plain to see that we were going to be delayed. the on screen information then changed again to say that the departure details would be available at 11.00. at this point i did venture down to the british airways information desk but as there was a queue of around fifteen people, i gave up and sat down again. at 12.00 the screen info finally said that we had a new departure time of 14.00. during all of this time i should add that at no time was any information (other than the screen) made available to passengers regarding the flight or details of refreshments etc. despite numerous announcements from easyjet and other airlines ba was conspicuous by its silence. we were eventually notified of the gate number and for the first time we were told as we entered the departure area the reason for the delay. apparently there had been a problem with the cargo door and they had decided it needed to be replaced. despite the rather cramped departure area, everyone seemed ready to board until we were told that the repairs were not complete and there would be a further delay and if some passengers wanted to stretch their legs they could leave their boarding passes with the ground staff and leave the departure area. eventually we boarded just after 14.30. when everyone was settled in their seats the pilot apologised again and said the repairs still hadn't been completed and a further delay was likely. we eventually departed just after 15.30 after a delay of over five and a half hours. now i know 'stuff' happens but let's not forget that we were departing from one of ba's home airports and why they couldn't have a second plane available quicker than five and a half hours is anybody's guess. various people writing on online forums have previously spoken about the holiday routes from gatwick being dumbed down by ba in favour of the traditional business routes flying out of heathrow. i have no idea whether this is true or not but i would ask one question, if this flight had been a morning flight from heathrow to jfk, would ba have found a solution quicker? once in the air, the flight was fine, nothing special but nothing bad and would have been acceptable without the delay.",6th June 2016,United Kingdom,Premium Economy,no,3,Heathrow to Las Vegas,Family Leisure,Yes,Neutral
"flew british airways from new york jfk to london heathrow. most comfortable seats i've been in. very ergonomic. plane was clean. clear screen and nice selection of music, tv shows and recent movies. easy to navigate. i also enjoyed the multiple views of the flight from the overhead map to the mock pilot screen. attendants were very polite and dinner was served quickly. food was as good as i've had on air france flights. i will definitely try to book with them for future trips.",2nd June 2016,United States,Economy Class,yes,3,LHR to CPT,Couple Leisure,Yes,Positive
"after a hiatus of almost 20 years, the heathrow to inverness route was reinstated in may 2016. for the last few years travelling to inverness from geneva we have been using easyjet via gatwick so i thought it would be interesting to see how ba compares to its budget rival when travelling to the north of scotland. overall, i would say not particularly favourably. bag-drop; i checked-in online so just had to go through bag-drop. however, with only one agent on the desk dedicated to economy passengers (versus 3 agents for business passengers) ba bag-drop in geneva was a slow and painful experience and slower than i have recently experienced with easyjet in geneva.  boarding in geneva was fairly smooth, no better or worse than easyjet. in-flight staff were friendly and efficient however the complimentary breakfast (of a ham and cheese croissant) could best be described as awful (a croissant in name only!). given the price premium my overall opinion is that ba are not providing sufficiently better service in comparison to easyjet considering the price premium between the two airlines.",31st May 2016,Switzerland,Economy Class,no,5,BLR to LHR,Business,Yes,Positive
"flew with british airways on a 7 hour flight from dubai to london in economy with the tiniest tv screen i have seen in the last 10 years. it was so small you had to squint most of the time to make out what was going on, and the resolution was terrible and irritated the eyes. the screen had little crosses in it. this must have been an ancient plane. the movie selection was old given that i watched the same movies 2 months earlier. nothing that is currently in the cinema. we only had one meal and when we asked for additional food there were only snacks in form of chocolate bars and biscuits. we were also not allowed to have any sparkling wine, which is ridiculous as they have it on tap in business class. the staff seemed irritated most of the time especially the lady in business class who welcomed us. very disappointing experience.",31st May 2016,United Kingdom,Economy Class,no,5,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"going against the grain somewhat i have to say that i truly prefer flying with british airways over emirates on the london heathrow - dubai route. having tried both airlines several times i am definitely going to side with ba on this one. firstly, ba offer some really competitive prices on this route. if you happen to have a few avios tucked away then this flight can be a real steal. secondly, out of lhr, ba really does have the best terminal. okay, so terminal 3 for emirates isn't the worst terminal in the world but i much prefer terminal 5. spacious, light and with good dining options. as for the aircraft, well it's a choice between choosing the passenger pleaser that is the a380 or the retro classic that is the b747. i'll happily fly in either, although even after the refit the 747 is still showing it's age. as an economy passenger i have found the product on british airways to be perfectly reasonable. the seat pitch is average, seat comfort is average, ife screen size again is average. you get a choice of the latest blockbusters and a few other options. with emirates you have a huge ife, thousands of films to choose from and slightly better seat width and pitch. however, i've also wondered what the appeal is of choosing from thousands of films that i have no interest in watching. i'd rather just take my ipad preloaded with films i actually want to watch. the lack of wifi isn't a huge concern for me. hopefully the gogo 2ku product ba is installing from 2017 will be more robust. now for the catering. as an economy passenger i'm not expecting much but on the last few flights with ba i have been pleasantly surprised. the food has not only been edible but also really quite tasty. where ba falls down is on presentation which is quite frankly awful. it's also the little extras that i notice. a pre-dinner drinks service. coffee and tea offered throughout the cabin. real cheese and crackers to finish off the meal (as opposed to soft cheese - i'm not 5 years old). with ba you also get a more substantial snack prior to landing. it's just a little tuck box but it is far more generous than the emirates economy offering. i've found the crew to be hit and miss, in fairness, i've found that treating crew in the same friendly and warm manner as you expect to be treated normally brings out the best in them. the recent newspaper deal with the murdoch empire is a nice touch. along with the daily hate and 'i' newspapers to choose from you also get the times, the sun and financial times as complimentary options. arrivals for ba at dxb is a bit of a nightmare. terminal 1 immigration is something else and the journey from runway to stand can be epic. however, the new concourse d for departures is really nice. not too blingy. overall, a pleasant flight. i would happily fly with ba again.",30th May 2016,United Kingdom,Economy Class,yes,3,Rome to Heathrow,Solo Leisure,Yes,Positive
"this was a flight from gatwick to bermuda on a 777 with british airways. the aircraft was clean and reasonably comfortable, and the cabin crew were friendly and attentive. i am 6ft tall and normally have problems with the leg room offered in economy (aer lingus, i'm talking about you) but there was ample leg room. indeed on walking through premium economy and club world on exiting the aircraft i didn't notice a big difference in leg room. i haven't flown ba for quite some years and had vague memories of the inflight meals being particularly shoddy. not this time though. my meal was reasonably nice (chicken korma) and my fiancée had no complaints either with her pasta dish. the crew were round regularly with complementary soft drinks as well as snacks and glasses of water or pure orange. the ife had a good selection, though one gripe is the positioning of the controls. there is a small controller built in to the top of the arm rest. this controller controls the ife as well as your reading light and call button. more than once i accidentally pressed the light and the call button with my elbow while shifting position. a small gripe but it was quite annoying. another gripe is the adverts you have to sit through when starting to watch a new selection. i was on continental and virgin a couple of years ago and don't believe i had to sit through adverts before watching a movie or tv programme. overall, aside from the small ife issues, a thoroughly pleasant flight.",27th May 2016,United Kingdom,Economy Class,yes,9,Denver to Heathrow,Family Leisure,Yes,Positive
"london to paris cdg in business class. british airways has always been one of my favourite airlines. however, there are just a few points that really bugs me. the business class check in counter queue was longer in comparison to other counter (e.g economy) at terminal 5. at security, the fast track queue were also longer.",24th May 2016,United Kingdom,Business Class,yes,5,Heathrow to Las Vegas,Family Leisure,Yes,Neutral
"every airline which offers business class travel will assign seats when booking the flight. the exception is british airways. in january, 2016 i booked a flight for two passengers on ba in business class from san francisco to london and back for travel in may/june. seats in business class are not assigned until 48 hours before flight time. however, and here comes another ba first: if you want to choose your seats before that time you can do so by paying an extra fee. i ended up shelling out $484 - for the privilege of selecting two seats for the return flight. this on top of the steep fare charged for travel in business class. i don’t begrudge the airlines for their extra profits when the price of fuel takes a massive drop but when an airline then also engages in tactics as described in order to further maximize profitability, i rebel.",24th May 2016,United States,Business Class,no,5,Rome to Heathrow,Solo Leisure,Yes,Positive
"amsterdam to sao paulo via london heathrow with british airways. comfort on the a321 was very good, stylish leather seats with adjustable headrests. i had mixed feelings about the boeing 747 to sao paulo. the headrests and recline were very good, however ife was very outdated and limited, and because of the seat recline, hard to see the screen. also personal space when the passanger in front was in full recline became almost claustophobic. on all flights i found the crew professional, friendly but somewhat reserved. i found the quality and quantity of catering very good.",21st May 2016,Netherlands,Economy Class,yes,3,London to Luanda,Couple Leisure,Yes,Positive
"london city to glasgow with british airways. outrageous red tape. flight delayed to glasgow so asked if i could go on the earlier flight (no baggage etc.) ""sorry madam, there are empty seats, but the time of sales has passed so we cannot put you on the earlier flight that leaves in 30 minutes"". other airlines let you fly standby except for british airways. they delay a flight and won't switch you to an earlier flight that has space due to ridiculous red tape. this isn't the first time that this has happened. worst customer service ever - just pure laziness. anytime i have the option, i will be flying a different airline.",20th May 2016,United Kingdom,Economy Class,no,1,Denver to Heathrow,Family Leisure,Yes,Negative
"my partner and i were flying from london heathrow to bombay in march and were due to catch an onward flight to goa. unfortunately someone fell seriously ill on the flight and our plane was redirected to istanbul to allow for them to be taken to a hospital. the redirection meant that we arrived in bombay 3 hours late and wouldn't make our connecting flight. when we touched down in bombay the flight attendants said that ba ground staff would help us with missed flights, connections etc, and we should speak with them when we disembarked. on this advice we sought out uniformed ba ground staff in the luggage hall and asked for advice on what to do. they advised us to exit the hall and find an airport-based travel agent and purchase new flights to goa. when we voiced our concerns about not being reimbursed they reassured us saying that ba would definitely cover it, and went on to say that we should wait 14 days before making a claim through the website. armed with this advice from ba staff we went ahead and purchased new tickets. big mistake. since returning home we have duly followed instructions and tried to claim for reimbursement. here is the reply we received from ba customer relations: ""we've received a reply from mumbai who've investigated your case. the agent you spoke to can't specifically remember speaking to you personally. he did mention he'd advised customers with separate tickets to make their own arrangements. he also mentioned ba wasn't responsible for any onward travel costs."" this is an outright lie. i can only conclude that the ba staff member we spoke with in bombay was either fobbing us off or was improperly instructed in what to say to customers. either way british airways should be held responsible for the advice their staff give. poor service at the time and poor customer service in the follow up.",20th May 2016,United Kingdom,Economy Class,no,9,BKK to LHR,Business,Yes,Negative
we were treated incredibly well and staff made our trip as memorable as possible. having found out we heading off on our honeymoon the champagne flowed and they looked after us so well. in particular an irish fa was amazing to us and i'd like to thank him and the staff on the flight. we will recommend british airways to friends and family and this trip would make me choose ba for future flights.,20th May 2016,United Kingdom,Economy Class,yes,3,London to Sydney,Couple Leisure,Yes,Positive
"i was scheduled to be on ba 114 from jfk to lhr on 17th of may. when i conducted online check-in i was informed that the flight will be one hour late. i proceed to jfk and at check in they kindly moved me to an earlier flight (ba172). check in was easy and smooth. terminal 7 at jfk is nothing exciting. very limited shopping/dining and not enough seating. it feels like a lcc terminal. i was greeted by friendly crew once onboard. the hardware again is very dated - tiny screen, old seat and interior. legroom was decent though, and because the flight is empty i had plenty of space to stretch out. the flight left jfk with a minor delay. as it's a light flight most passengers were sleeping. service was done in a very discreet way. the food quality is nothing to write home about. overall it's a typical ba flight. very efficient and friendly crew with a very dated and unattractive product. we arrived at heathrow early despite the late departure in jfk. t5 was a pleasant airport to arrive. spacious and airy, and there was no queue in immigration. it took me less than 30 minutes to leave the airplane, travel from t5c to t5a, clear immigration and collect luggage.",19th May 2016,United Kingdom,Economy Class,yes,5,LHR to CPT,Couple Leisure,Yes,Positive
"british airways from london heathrow to new york jfk on a boeing 747 which hasn't been refitted. checked in at heathrow t5 was smooth and quick. t5 is pleasant enough. used the ba galleries lounge in t5a (south). it was busy with very limited food choice during breakfast, although the wine selection was decent. the lounge lacks atmosphere and is very basic in my opinion. the flight left heathrow late as usual but the captain assured us that we would make up the time and should arrive early. the hardware of this particular flight is sub standard. very old interior, worn carpet, dated toilet, and a small screen with poor resolution. entertainment provided was very limited and not as what's being advertised on the website. amenity pack provided is also very basic. in a way i felt i was on premium economy of some asian airlines. however the seat itself was ok as it has plenty of leg room and is comfortable, although i am not a big fan of the ying-yang design. the service onboard was  very friendly and informal. a full service after take off and an afternoon tea before landing. i felt that service has been consistent and is the biggest asset of the airline. it's always let down by it's inferior hardware product. i will always prefer to fly asian airlines.",19th May 2016,United Kingdom,Business Class,yes,3,BLR to LHR,Business,Yes,Positive
"flew british airways london heathrow to warsaw for a long weekend. departure from lhr t3 was smooth although the terminal is crowded and dated. flight left on time and arrived on time. return 3 days later with a delay of an hour. on both lags of the journey the service was efficient and professional. a small pack of food and a full bar service was provided. the food was not of high quality. planes were clean and have the refitted interior. seat pitch was extremely tight - similar to that of easyjet. as i purchased a ""hand luggage"" only ticket, ba charged £12 to change my seats, even during the online check in process. i find this unacceptable for a full service airlines as i can even choose my seat with easyjet. i used to prefer ba for its service and seat comfort but nowadays it seems that ba is no different than a budget airline. it's a shame as the service is always good",19th May 2016,United Kingdom,Economy Class,no,5,Rome to Heathrow,Solo Leisure,Yes,Neutral
"barbados to gatwick on ba2154. flight left on time and arrived at gatwick slightly ahead of schedule. as many have commented, the british airways configuration in club world is odd and i can only assume they chose this to get extra seats in compared with a more traditional layout! as the flight was overnight my wife and i decided to chose the two centre rear facing seats which offered least disturbance. the downside of this is you can get missed and in my case the cabin crew passed me at the meal service and i had to gesture to get them back! food and drink service was however otherwise fine. breakfast included a bacon roll which was nice. flatbed reasonable comfortable and we got a few hours sleep.",19th May 2016,United Kingdom,Business Class,yes,5,Gatwick to Venice,Solo Leisure,Yes,Positive
"british airways from gatwick to barbados on boeing 777. flight departed on time and arrived at bridgestone on schedule. i had seat 11k and my wife 11j on our outbound flight. seat configuration may be a bit odd but suited us for a day time flight and made conversation easy, although the window seat could be a bit claustrophobic with the partition up. food and drinks were very good, we both had chosen the fillet steak for the main course and although cooked a bit longer than we would prefer was still moist and tasty. wine and champagne selection very good. cabin crew were faultless, for example my wife asked for a jasmine tea and although this is not included in their selection the stewardess offered one of her one teabags! only real disappointment was the ife, the b777 aircraft are showing their age and the technology is dated, however the biggest problem is the video and audio selections which ae very inferior than many airlines.",18th May 2016,United Kingdom,Business Class,yes,3,London to Luanda,Couple Leisure,Yes,Positive
"family of 4 adults flying british airways from bangkok to london,and i wished i had done my homework first regarding aircraft type. the only outstanding experience on the flight was the service from the crew but that's where it stops. the seat was old, the footrest would not operate correctly. as a oneworld gold frequent flyer was able to get 1st row in premium economy. (2x2 by window). the pop up screen from the armrest would not stay in one position, the screen was cloudy and scratched making it impossible to watch the inflight entertainment so after an hour was put away. 12 hrs with no entertainment is a very long time. the food was probably the worst i've ever experienced, the main meal comes from the business class menu, not sure what happened in the galley but the steak was like concrete, could not be eaten, hence left behind (noticed other passengers did the same). mid flight snack ok. light meal prior to landing was inedible, a lasagna that just the look of it put me off. hence left behind. 12hrs 30min flight the catering is very average. we have now rebooked (at a premium cost) to fly back via kuala lumpur on the boeing 787 with the new premium product. interesting to see how that compares. would i recommend british airways, crew wise yes, actual product/ catering etc, no. advice, check which aircraft you are flying on.",17th May 2016,Australia,Premium Economy,no,3,LHR to CPT,Couple Leisure,Yes,Positive
"london heathrow to newark. two evenings prior to my flight i used british airways android app to reserve extended legroom seats for my wife and me. at the time, advance reservation of regular seats was $51 and $59 for front-section extended legroom seats. i had no interest in reserving a regular seat (i could wait until 24 hours before check-in for that) but i was interested in purchasing the extended legroom seats. so i paid the $118 for the two front-section seats. when my wife and i boarded the craft, lo and behold, the seats were not front-section seats at all! i was able to pull up the confirmation of purchase on my android phone and the cabin services director did his job very nicely, apologizing to us, offering us to file an incident report and reassuring us that all would be taken care of post-flight. however, subsequent to the flight, british airways has been positively nasty in their response, claiming that we were given the seats for which our boarding passes were issued (true enough) and completely ignoring the point that they had misrepresented those seats as front-section when they were not. the fact that i received zero goods or services for my $118 beyond what i was already entitled to by my payment of the base fare means nothing to them. they have managed to bilk me out of $118 and having gotten their hands on my money, they intend to keep it. we'll see what my credit card company has to say about this, but it would be a lot smoother if we could simply settle this amicably, rather than forcing me to dispute the charge with my credit card company. suffice it to say that my wife and i will not be flying ba again.",16th May 2016,United States,Economy Class,no,3,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"london heathrow to denver with british airways. plane was 1hr late taking off (again) - checking at previous lhr-den flights revealed this has happened every day in may - so i was not too surprised we were late leaving. premium economy seat was ok but being close to galley was a bit annoying for the noise. ife is so outdated now - tiny screen and very poor choice of music and only a few films worth watching. food was so-so. the lunch 1st course was some sort of salmon salad and was ok, the main course was beef and it was very dry. desert was a chocolate mousse which was lovely. afternoon tea was two sandwiches and a scone with cream which was quite nice. good supply of water/drinks throughout the flight and the fa was good. not a bad flight and i would use ba again in the future.",15th May 2016,United Kingdom,Premium Economy,yes,5,Gatwick to Venice,Solo Leisure,Yes,Positive
"british airways have seriously gone downhill. there is absolutely no difference between them and low cost airlines - i would actually prefer easyjet and ryanair as at least they are transparent. this journey from lyon to london heathrow was chaotic and stressful. thanks to ba charging £30 to check in luggage one way, every passenger takes cabin baggage. this means everyone flocks to queue up like cattle well before any announcements are even made. the boarding process made more unpleasant by them calling different groups out - i have honestly never seen anything like it. once on board, they had to stow a lot of luggage in the hold as it couldn't fit. passengers were arguing with one another (3 separate fights were witnessed) and staff were being very aggressive shoving bags and coats in every nook and cranny and telling people to move. the meal service is a joke - a pathetic barely edible sandwich. as always with ba flights to and from lhr, this flight was late. we ended up flying round and round over london for 30 mins. the worst thing is ba's new policy of charging to select a seat - even at online check in opening 24 hours before. this means they assign you any rubbish seat and you have to pay £12 just to change it to any normal seat (and even more if extra legroom). ba's new policy seems to be to nickel and dime customers at every possible step of the way (and charge more than other airlines in the process). a shame they have turned this airline into something worse than low cost. i will definitely be avoiding them wherever possible.",14th May 2016,United Kingdom,Economy Class,no,3,Denver to Heathrow,Family Leisure,Yes,Negative
"nassau to paris via london with british airways. flight was delayed 3 hours from nassau to london. no refreshments offered while waiting. boarded at 11:00pm to leave at 1:00 am. 2 hours waiting in the aircraft with no entertainment available. staff were very polite and helped as much as they could. then arrived in london with 3 hours delay, almost impossible to get information from rude staff at heathrow airport. we're able to be put on the next flight to paris. then it took over an hour to go through security and we almost missed our flight. ""luckily"", flight was delayed 45 minutes so we caught it. when we arrived bags had not arrived and were delivered home the following day. since the connection took over an hour, i called british airways to change my flight in 2 weeks (since i have 1h10m to get to the second plane, chances are i won't be able to catch it). i was told i would have to pay 150€ (even though flight is 200€ cheaper compared to when i bought it) and that i would most likely be put on the next plane to los angeles, through american airlines. so i haven't taken my flight that i'm kind of feeling i might be missing it. not very accommodating.",11th May 2016,France,Premium Economy,no,1,London to Tampa,Couple Leisure,Yes,Negative
